
CommandType     Name                                               Version    Source
Function        Get-CsOnlineTelephoneNumber                        5.1.1      MicrosoftTeams
Function        Get-CsOnlineTelephoneNumberCountry                 5.1.1      MicrosoftTeams
Function        Get-CsOnlineTelephoneNumberOrder                   5.1.1      MicrosoftTeams
Function        Get-CsOnlineTelephoneNumberType                    5.1.1      MicrosoftTeams
Function        Get-CsOnlineUser                                   5.1.1      MicrosoftTeams
Function        Get-CsOnlineVoicemailUserSettings                  5.1.1      MicrosoftTeams
Function        Get-CsOnlineVoiceRoute                             5.1.1      MicrosoftTeams
Function        Get-CsOnlineVoiceRoutingPolicy                     5.1.1      MicrosoftTeams
Function        Get-CsOnlineVoiceUser                              5.1.1      MicrosoftTeams
Function        Get-CsPhoneNumberAssignment                        5.1.1      MicrosoftTeams
Function        Get-CsPolicyPackage                                5.1.1      MicrosoftTeams
Function        Get-CsPrivacyConfiguration                         5.1.1      MicrosoftTeams
Function        Get-CsSdgBulkSignInRequestsSummary                 5.1.1      MicrosoftTeams
Function        Get-CsSdgBulkSignInRequestStatus                   5.1.1      MicrosoftTeams
Function        Get-CsTeamsAcsFederationConfiguration              5.1.1      MicrosoftTeams
Function        Get-CsTeamsAudioConferencingPolicy                 5.1.1      MicrosoftTeams
Function        Get-CsTeamsCallParkPolicy                          5.1.1      MicrosoftTeams
Function        Get-CsTeamsClientConfiguration                     5.1.1      MicrosoftTeams
Function        Get-CsTeamsComplianceRecordingApplication          5.1.1      MicrosoftTeams
Function        Get-CsTeamsCortanaPolicy                           5.1.1      MicrosoftTeams
Function        Get-CsTeamsEducationAssignmentsAppPolicy           5.1.1      MicrosoftTeams
Function        Get-CsTeamsEducationConfiguration                  5.1.1      MicrosoftTeams
Function        Get-CsTeamsEmergencyCallRoutingPolicy              5.1.1      MicrosoftTeams
Function        Get-CsTeamsEnhancedEncryptionPolicy                5.1.1      MicrosoftTeams
Function        Get-CsTeamsFilesPolicy                             5.1.1      MicrosoftTeams
Function        Get-CsTeamsGuestCallingConfiguration               5.1.1      MicrosoftTeams
Function        Get-CsTeamsGuestMeetingConfiguration               5.1.1      MicrosoftTeams
Function        Get-CsTeamsGuestMessagingConfiguration             5.1.1      MicrosoftTeams
Function        Get-CsTeamsIPPhonePolicy                           5.1.1      MicrosoftTeams
Function        Get-CsTeamsMediaLoggingPolicy                      5.1.1      MicrosoftTeams
Function        Get-CsTeamsMeetingBroadcastConfiguration           5.1.1      MicrosoftTeams
Function        Get-CsTeamsMeetingBroadcastPolicy                  5.1.1      MicrosoftTeams
Function        Get-CsTeamsMeetingConfiguration                    5.1.1      MicrosoftTeams
Function        Get-CsTeamsMigrationConfiguration                  5.1.1      MicrosoftTeams
Function        Get-CsTeamsMobilityPolicy                          5.1.1      MicrosoftTeams
Function        Get-CsTeamsNetworkRoamingPolicy                    5.1.1      MicrosoftTeams
Function        Get-CsTeamsNotificationAndFeedsPolicy              5.1.1      MicrosoftTeams
Function        Get-CsTeamsRoomVideoTeleConferencingPolicy         5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsAppPolicy                         5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionConnector               5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionErrorReport             5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionInstance                5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionOperation               5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionSyncResult              5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionTeamMap                 5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionWfmTeam                 5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsConnectionWfmUser                 5.1.1      MicrosoftTeams
Function        Get-CsTeamsShiftsPolicy                            5.1.1      MicrosoftTeams
Function        Get-CsTeamsSurvivableBranchAppliance               5.1.1      MicrosoftTeams
Function        Get-CsTeamsSurvivableBranchAppliancePolicy         5.1.1      MicrosoftTeams
Function        Get-CsTeamsTargetingPolicy                         5.1.1      MicrosoftTeams
Function        Get-CsTeamsTranslationRule                         5.1.1      MicrosoftTeams
Function        Get-CsTeamsUnassignedNumberTreatment               5.1.1      MicrosoftTeams
Function        Get-CsTeamsUpgradeConfiguration                    5.1.1      MicrosoftTeams
Function        Get-CsTeamsUpgradePolicy                           5.1.1      MicrosoftTeams
Function        Get-CsTeamsVdiPolicy                               5.1.1      MicrosoftTeams
Function        Get-CsTeamsVideoInteropServicePolicy               5.1.1      MicrosoftTeams
Function        Get-CsTeamsWorkLoadPolicy                          5.1.1      MicrosoftTeams
Function        Get-CsTeamTemplate                                 5.1.1      MicrosoftTeams
Function        Get-CsTeamTemplateList                             5.1.1      MicrosoftTeams
Function        Get-CsTenant                                       5.1.1      MicrosoftTeams
Function        Get-CsTenantBlockedCallingNumbers                  5.1.1      MicrosoftTeams
Function        Get-CsTenantDialPlan                               5.1.1      MicrosoftTeams
Function        Get-CsTenantFederationConfiguration                5.1.1      MicrosoftTeams
Function        Get-CsTenantLicensingConfiguration                 5.1.1      MicrosoftTeams
Function        Get-CsTenantMigrationConfiguration                 5.1.1      MicrosoftTeams
Function        Get-CsTenantNetworkConfiguration                   5.1.1      MicrosoftTeams
Function        Get-CsTenantNetworkRegion                          5.1.1      MicrosoftTeams
Function        Get-CsTenantNetworkSite                            5.1.1      MicrosoftTeams
Function        Get-CsTenantNetworkSubnet                          5.1.1      MicrosoftTeams
Function        Get-CsTenantTrustedIPAddress                       5.1.1      MicrosoftTeams
Function        Get-CsUserCallingSettings                          5.1.1      MicrosoftTeams
Function        Get-CsUserPolicyAssignment                         5.1.1      MicrosoftTeams
Function        Get-CsUserPolicyPackage                            5.1.1      MicrosoftTeams
Function        Get-CsUserPolicyPackageRecommendation              5.1.1      MicrosoftTeams
Function        Get-CsVideoInteropServiceProvider                  5.1.1      MicrosoftTeams
Function        Get-MgAllGroupTeamChannel                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgAllTeamChannel                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamApp                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinition                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinitionBot               1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinitionColorIcon         1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinitionColorIconHostedC… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinitionOutlineIcon       1.27.0     Microsoft.Graph.Teams
Function        Get-MgAppCatalogTeamAppDefinitionOutlineIconHoste… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgChat                                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatInstalledApp                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatInstalledAppTeamApp                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatInstalledAppTeamAppDefinition            1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatLastMessagePreview                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMember                                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessage                                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessageDelta                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessageHostedContent                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessageReply                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessageReplyDelta                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatMessageReplyHostedContent                1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatOperation                                1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrant                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrantById                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrantDelta                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrantMemberGroup               1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrantMemberObject              1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPermissionGrantUserOwnedObject           1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatPinnedMessage                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatTab                                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgChatTabTeamApp                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeam                                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannel                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelFileFolder                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelFileFolderContent            1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelMember                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelMessage                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelMessageHostedContent         1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelMessageReply                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelMessageReplyHostedContent    1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelSharedWithTeam               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelSharedWithTeamAllowedMember  1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelTab                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamChannelTabTeamApp                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamGroup                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamIncomingChannel                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamInstalledApp                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamInstalledAppTeamApp                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamInstalledAppTeamAppDefinition       1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamMember                              1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamOperation                           1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamOwner                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamOwnerMailboxSetting                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPermissionGrant                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPhoto                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPhotoContent                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannel                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelFileFolder            1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelFileFolderContent     1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelMember                1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelMessage               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelMessageHostedContent  1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelMessageReply          1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelMessageReplyHostedCo… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelSharedWithTeam        1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelSharedWithTeamAllowe… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelTab                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamPrimaryChannelTabTeamApp            1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamSchedule                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleOfferShiftRequest           1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleOpenShift                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleOpenShiftChangeRequest      1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleSchedulingGroup             1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleShift                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleSwapShiftChangeRequest      1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleTimeCard                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleTimeOff                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleTimeOffReason               1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamScheduleTimeOffRequest              1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamTag                                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamTagMember                           1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamTemplate                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgGroupTeamTemplateDefinition                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeam                                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannel                                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelFileFolder                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelFileFolderContent                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMember                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessage                           1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessageDelta                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessageHostedContent              1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessageReply                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessageReplyDelta                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelMessageReplyHostedContent         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelSharedWithTeam                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelSharedWithTeamAllowedMember       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelTab                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamChannelTabTeamApp                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamIncomingChannel                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamInstalledApp                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamInstalledAppTeamApp                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamInstalledAppTeamAppDefinition            1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamMember                                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamMessage                                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamOperation                                1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamOwner                                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamOwnerMailboxSetting                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrant                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrantById                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrantDelta                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrantMemberGroup               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrantMemberObject              1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPermissionGrantUserOwnedObject           1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPhoto                                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPhotoContent                             1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannel                           1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelFileFolder                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelFileFolderContent          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMember                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessage                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessageDelta               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessageHostedContent       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessageReply               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessageReplyDelta          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelMessageReplyHostedContent  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelSharedWithTeam             1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelSharedWithTeamAllowedMemb… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelTab                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamPrimaryChannelTabTeamApp                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamSchedule                                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleOfferShiftRequest                1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleOpenShift                        1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleOpenShiftChangeRequest           1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleSchedulingGroup                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleShift                            1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleSwapShiftChangeRequest           1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleTimeCard                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleTimeOff                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleTimeOffReason                    1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamScheduleTimeOffRequest                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamTag                                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamTagMember                                1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamTemplate                                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamTemplateDefinition                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamwork                                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeam                          1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannel                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelFileFolder         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelFileFolderContent  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMember             1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessage            1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessageDelta       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessageHostedCont… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessageReply       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessageReplyDelta  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelMessageReplyHoste… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelSharedWithTeam     1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelSharedWithTeamAll… 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelTab                1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamChannelTabTeamApp         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeletedTeamMessage                   1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDevice                               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeviceActivity                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeviceConfiguration                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeviceHealth                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkDeviceOperation                      1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkTeamAppSetting                       1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkTeamTemplate                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkTeamTemplateDefinition               1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkTeamTemplateDefinitionTeamDefinition 1.27.0     Microsoft.Graph.Teams
Function        Get-MgTeamworkWorkforceIntegration                 1.27.0     Microsoft.Graph.Teams
Function        Get-MgUserChat                                     1.27.0     Microsoft.Graph.Teams
Function        Get-MgUserChatInstalledApp                         1.27.0     Microsoft.Graph.Teams
Function        Get-MgUserChatInstalledAppTeamApp                  1.27.0     Microsoft.Graph.Teams
Function        Get-MgUserChatInstalledAppTeamAppDefinition        1.27.0     Microsoft.Graph.Teams
